Seller Name,# Depop Followers,# Items Sold,# Reviews,Star Rating,Social Media Link,Depop Store Link
@tcacreative,"2,485 ",376 ,250 ,5,https://www.tcacreative.co.uk/shop,https://www.depop.com/tcacreative/
@fvye,"6,575 ",372 ,190 ,5,https://instagram.com/ffvye,https://www.depop.com/fvye/
@naughtynewman,"2,641 ",371 ,271 ,5,https://www.instagram.com/naughty_newman/,https://www.depop.com/naughtynewman/
@mattyknightdx,982 ,358 ,223 ,5,,https://www.depop.com/mattyknightdx/
@limberti,"19,700 ",346 ,296 ,5,,https://www.depop.com/limberti/
@garmsoup,219 ,337,144 ,4.8,,https://www.depop.com/garmsoup/
@enouementvintage,"3,069 ",336 ,159 ,5,https://www.instagram.com/enouementvintage/,https://www.depop.com/enouementvintage/
@nata_bielecka,"10,500 ",335 ,285 ,4.95,,https://www.depop.com/nata_bielecka/
@richarchive,"4,499 ",334 ,123 ,4.75,https://www.instagram.com/rich.archive/,https://www.depop.com/richarchive/
@jbarker4,"1,548 ",334 ,400 ,5,,https://www.depop.com/jbarker4/
@bmsupply,"2,679 ",333 ,171 ,5,https://www.instagram.com/cb_streetwear,https://www.depop.com/bmsupply/
@issyhshop,"4,460 ",326 ,202 ,5,,https://www.depop.com/issyhshop/
@karloskargo,"3,020 ",326 ,204 ,4.9,https://www.instagram.com/karlos.kargo/,https://www.depop.com/karloskargo/
@circularmarket,"1,581 ",325 ,123 ,5,,https://www.depop.com/circularmarket/
@keepingthestyles,"2,268 ",324 ,70 ,4.8,https://instagram.com/keepingthestyle,https://www.depop.com/keepingthestyles/
@jacobharveyy,"9,487 ",319 ,129 ,4.95,,https://www.depop.com/jacobharveyy/
@shoedeli,"16,000 ",311 ,346 ,5,https://linktr.ee/ShoeDeli,https://www.depop.com/shoedeli/
@anthonyylee,994 ,308 ,154 ,5,,https://www.depop.com/anthonyylee/
@fresh_pair_of_creps,"2,656 ",307 ,198 ,4.8,,https://www.depop.com/fresh_pair_of_creps/
@indigostate,"1,893 ",307 ,200 ,5,,https://www.depop.com/indigostate/
